recall	precision	percentage
0.7307692	0.39310345	44.342506
0.7307692	0.39041096	44.64832
0.74358976	0.39455783	44.95413
0.74358976	0.3918919	45.259937
0.75641024	0.39597315	45.56575
0.75641024	0.39333335	45.87156
0.75641024	0.39072847	46.17737
0.75641024	0.3881579	46.48318
0.75641024	0.38562092	46.78899
0.75641024	0.38311687	47.094803
0.75641024	0.38064516	47.40061
0.75641024	0.37820512	47.70642
0.75641024	0.37579617	48.012234
0.75641024	0.37341774	48.318043
0.7692308	0.3773585	48.62385
0.7692308	0.375	48.929665
0.7692308	0.3726708	49.235474
0.78205127	0.37654322	49.541283
0.78205127	0.37423313	49.847095
0.78205127	0.37195122	50.152905
0.78205127	0.36969697	50.458717
0.7948718	0.37349397	50.764526
0.7948718	0.37125748	51.070335
0.7948718	0.3690476	51.37615
0.7948718	0.3668639	51.681957
0.7948718	0.3647059	51.987766
0.7948718	0.3625731	52.29358
0.7948718	0.3604651	52.59939
0.7948718	0.3583815	52.905197
0.7948718	0.35632184	53.21101
0.7948718	0.35428572	53.51682
0.8076923	0.35795453	53.82263
0.8076923	0.3559322	54.12844
0.8076923	0.3539326	54.43425
0.8076923	0.3519553	54.740063
0.8076923	0.35	55.04587
0.8076923	0.3480663	55.35168
0.8076923	0.34615386	55.657494
0.8076923	0.3442623	55.963303
0.8076923	0.3423913	56.26911
0.8076923	0.34054053	56.574924
0.8076923	0.33870968	56.880733
0.8076923	0.3368984	57.186543
0.8076923	0.33510637	57.492355
0.8076923	0.33333334	57.798164
0.8076923	0.33157894	58.103977
0.8076923	0.32984293	58.409786
0.8076923	0.328125	58.715595
0.8076923	0.32642487	59.021408
0.8076923	0.32474226	59.327217
0.8076923	0.32307693	59.633026
0.8076923	0.32142857	59.93884
0.8076923	0.31979695	60.244648
0.8076923	0.3181818	60.550457
0.8076923	0.31658292	60.85627
0.8076923	0.315	61.16208
0.8076923	0.31343284	61.46789
0.8076923	0.31188118	61.7737
0.8076923	0.31034482	62.07951
0.8076923	0.30882353	62.385323
0.8076923	0.30731708	62.69113
0.8076923	0.30582523	62.99694
0.8076923	0.3043478	63.302753
0.8076923	0.3028846	63.608562
0.8076923	0.3014354	63.91437
0.8076923	0.3	64.220184
0.8076923	0.2985782	64.52599
0.8076923	0.2971698	64.8318
0.8076923	0.29577464	65.13761
0.8076923	0.29439253	65.44343
0.8076923	0.29302326	65.74924
0.8076923	0.29166666	66.055046
0.8076923	0.29032257	66.360855
0.82051283	0.29357797	66.666664
0.82051283	0.29223743	66.97248
0.8333333	0.29545453	67.27829
0.8333333	0.29411766	67.5841
0.8333333	0.2927928	67.88991
0.8333333	0.29147983	68.19572
0.8333333	0.29017857	68.501526
0.8333333	0.2888889	68.80734
0.8333333	0.28761062	69.11315
0.8333333	0.2863436	69.41896
0.8333333	0.2850877	69.72477
0.8333333	0.2838428	70.03058
0.8333333	0.2826087	70.33639
0.8333333	0.28138527	70.642204
0.8333333	0.2801724	70.94801
0.8333333	0.27896994	71.25382
0.8333333	0.2777778	71.55963
0.8333333	0.27659574	71.86544
0.8333333	0.27542374	72.17126
0.8333333	0.2742616	72.477066
0.84615386	0.27731094	72.782875
0.84615386	0.2761506	73.088684
0.84615386	0.275	73.39449
0.84615386	0.27385893	73.7003
0.84615386	0.27272728	74.00612
0.84615386	0.27160493	74.31193
0.84615386	0.2704918	74.61774
0.84615386	0.26938775	74.923546
0.84615386	0.2682927	75.229355
0.84615386	0.2672065	75.53517
0.84615386	0.26612905	75.84098
0.84615386	0.26506025	76.14679
0.84615386	0.264	76.4526
0.84615386	0.26294822	76.75841
0.84615386	0.26190478	77.06422
0.84615386	0.26086956	77.37003
0.84615386	0.25984251	77.67584
0.84615386	0.25882354	77.98165
0.85897434	0.26171875	78.28746
0.85897434	0.26070037	78.59327
0.85897434	0.25968993	78.899086
0.85897434	0.25868726	79.204895
0.85897434	0.2576923	79.510704
0.85897434	0.256705	79.81651
0.85897434	0.2557252	80.12232
0.85897434	0.25475284	80.42813
0.85897434	0.25378788	80.73395
0.85897434	0.25283018	81.03976
0.85897434	0.2518797	81.345566
0.8717949	0.25468165	81.651375
0.8717949	0.25373134	81.957184
0.8717949	0.2527881	82.263
0.8717949	0.25185186	82.56881
0.8717949	0.2509225	82.87462
0.8717949	0.25	83.18043
0.8717949	0.24908425	83.48624
0.8717949	0.24817519	83.792046
0.88461536	0.2509091	84.09786
0.8974359	0.2536232	84.40367
0.8974359	0.25270757	84.70948
0.8974359	0.25179857	85.01529
0.8974359	0.25089607	85.3211
0.8974359	0.25	85.626915
0.8974359	0.24911033	85.932724
0.8974359	0.24822696	86.23853
0.8974359	0.24734983	86.54434
0.9102564	0.25	86.85015
0.9102564	0.24912281	87.15596
0.9102564	0.24825175	87.46178
0.9102564	0.24738675	87.767586
0.9102564	0.24652778	88.073395
0.9102564	0.24567474	88.3792
0.9102564	0.24482758	88.68501
0.9102564	0.24398625	88.99083
0.9102564	0.24315068	89.29664
0.9102564	0.24232082	89.60245
0.9102564	0.2414966	89.90826
0.9102564	0.24067797	90.214066
0.9102564	0.23986487	90.519875
0.9102564	0.23905724	90.82569
0.9102564	0.23825504	91.1315
0.9102564	0.2374582	91.43731
0.9102564	0.23666666	91.74312
0.9102564	0.2358804	92.04893
0.9102564	0.23509933	92.35474
0.9230769	0.23762377	92.66055
0.9230769	0.23684211	92.96636
0.9358974	0.23934427	93.27217
0.94871795	0.24183007	93.57798
0.94871795	0.24104235	93.88379
0.94871795	0.24025974	94.189606
0.94871795	0.2394822	94.495415
0.94871795	0.23870967	94.80122
0.94871795	0.23794213	95.10703
0.94871795	0.23717949	95.41284
0.96153843	0.23961662	95.71865
0.974359	0.24203822	96.02447
0.974359	0.24126984	96.33028
0.974359	0.24050634	96.636086
0.974359	0.23974763	96.941895
0.974359	0.2389937	97.2477
0.974359	0.23824452	97.55352
0.974359	0.2375	97.85933
0.974359	0.23676012	98.16514
0.98717946	0.23913044	98.47095
0.98717946	0.23839009	98.77676
0.98717946	0.23765433	99.082565
0.98717946	0.23692308	99.38838
0.98717946	0.23619632	99.69419
1.0	0.23853211	100.0
